Price,Close,High,Low,Open,Volume
Ticker,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA
Date,,,,,
2023-11-29,59.16782760620117,59.787174224853516,58.888118743896484,58.99800491333008,6280792
2023-11-30,59.97697448730469,60.38654708862305,59.297691345214844,59.597373962402344,8901043
2023-12-01,60.67624282836914,60.67624282836914,59.18780517578125,60.29663848876953,11592368
2023-12-04,60.586334228515625,60.93596649169922,60.08686065673828,60.3066291809082,3831722
2023-12-05,60.73617935180664,61.4454345703125,60.20673370361328,60.7761344909668,5753239
2023-12-06,61.00589370727539,61.61525344848633,60.50642013549805,61.03586196899414,3624604
2023-12-07,61.425453186035156,61.765098571777344,60.68622970581055,61.01588439941406,4271283
2023-12-08,61.01588439941406,61.96488571166992,60.44648361206055,61.425453186035156,4512937
2023-12-11,61.06583023071289,61.425453186035156,60.616302490234375,60.76614761352539,3472645
2023-12-12,60.45647048950195,61.31557083129883,59.76719665527344,61.07582092285156,3776063
2023-12-13,62.85395431518555,63.553218841552734,60.286651611328125,60.48644256591797,8413932
2023-12-14,65.24144744873047,65.77088928222656,62.933868408203125,62.933868408203125,16957099
2023-12-15,63.9727783203125,66.0306167602539,63.93281936645508,65.45122528076172,6799036
2023-12-18,64.30242919921875,64.83187866210938,63.47330093383789,64.59212493896484,5406775
2023-12-19,64.28245544433594,65.01168823242188,64.2225112915039,64.54217529296875,5347713
2023-12-20,63.14365005493164,64.46226501464844,63.023773193359375,64.29244232177734,7276438
2023-12-21,64.46226501464844,64.5621566772461,63.623146057128906,63.922828674316406,5651532
2023-12-22,64.4522705078125,65.11157989501953,63.88287353515625,64.3823471069336,4408527
2023-12-26,64.13260650634766,64.85185241699219,63.583187103271484,64.85185241699219,5962158
2023-12-27,63.599998474121094,63.79999923706055,62.83000183105469,63.79999923706055,4905300
2023-12-28,63.599998474121094,63.900001525878906,63.209999084472656,63.45000076293945,3404700
2024-01-02,61.2599983215332,63.5099983215332,60.91999816894531,63.33000183105469,7037300
2024-01-03,60.900001525878906,61.619998931884766,60.34000015258789,61.220001220703125,5667700
2024-01-04,59.630001068115234,61.130001068115234,59.220001220703125,60.900001525878906,7653400
2024-01-05,60.5,61.16999816894531,59.209999084472656,59.47999954223633,7448200
2024-01-08,62.79999923706055,63.34000015258789,59.9900016784668,60.29999923706055,5556800
2024-01-09,62.209999084472656,62.93000030517578,62.0,62.38999938964844,3826500
2024-01-10,63.0,63.36000061035156,62.16999816894531,62.689998626708984,6144500
2024-01-11,61.0099983215332,62.88999938964844,61.0099983215332,62.63999938964844,5918800
2024-01-12,61.0,62.2599983215332,60.11000061035156,60.66999816894531,5675400
2024-01-15,61.18000030517578,61.5,59.70000076293945,61.0099983215332,2178400
2024-01-16,60.279998779296875,60.79999923706055,60.029998779296875,60.310001373291016,5204200
2024-01-17,60.939998626708984,61.189998626708984,60.0099983215332,60.06999969482422,4370300
2024-01-18,59.36000061035156,61.5,59.36000061035156,61.209999084472656,5815100
2024-01-19,60.09000015258789,60.56999969482422,58.2400016784668,59.58000183105469,5720700
2024-01-22,58.709999084472656,60.61000061035156,58.43000030517578,60.209999084472656,4311600
2024-01-23,59.220001220703125,59.65999984741211,58.349998474121094,59.16999816894531,6818500
2024-01-24,58.630001068115234,59.93000030517578,58.38999938964844,59.790000915527344,9629800
2024-01-25,58.36000061035156,59.099998474121094,58.2599983215332,58.61000061035156,3798600
